(10, 184, 67, 181, 6230504)
(10, 233, 108, 225, 12650337)
(10, 445, 205, 430, 88122125)
(10, 508, 394, 412, 131097512)
(10, 620, 132, 618, 238329000)
(10, 630, 496, 504, 250048000)
(10, 635, 475, 530, 256048875)
(10, 677, 278, 661, 310289733)
(10, 750, 415, 705, 421876000)
(10, 1030, 640, 940, 1092728000)
(10, 1500, 730, 1440, 3375001000)
(10, 1542, 1104, 1324, 3666513088)
(10, 1925, 1260, 1725, 7133329125)
(11, 93, 30, 92, 805688)
(11, 132, 99, 110, 2301299)
(11, 268, 60, 267, 19250163)
(11, 488, 203, 476, 116215603)
(11, 493, 90, 492, 119824488)
(11, 493, 346, 428, 119824488)
(11, 538, 323, 496, 155722203)
(11, 622, 307, 596, 240643179)
(11, 1133, 704, 1034, 1454420968)
(11, 1494, 654, 1451, 3334663115)
(11, 1650, 803, 1584, 4492126331)
(12, 40, 31, 33, 65728)
(12, 51, 38, 43, 134379)
(12, 96, 54, 90, 886464)
(12, 144, 108, 120, 2987712)
(12, 204, 90, 198, 8491392)
(12, 240, 88, 236, 13825728)
(12, 330, 201, 303, 35938728)
(12, 456, 123, 453, 94820544)
(12, 534, 246, 516, 152275032)
(12, 744, 236, 736, 411832512)
(12, 762, 570, 636, 442452456)
(12, 837, 389, 808, 586377981)
(12, 900, 498, 846, 729001728)
(12, 1104, 194, 1102, 1345574592)
(12, 1179, 846, 1011, 1638860067)
(12, 1236, 768, 1128, 1888233984)
(12, 1432, 460, 1416, 2936495296)
(12, 1656, 1292, 1336, 4541310144)
(12, 1800, 876, 1728, 5832001728)
(12, 1860, 453, 1851, 6434857728)
(13, 156, 117, 130, 3798613)
(13, 1339, 832, 1222, 2400723416)
(13, 1950, 949, 1872, 7414877197)
(14, 112, 63, 105, 1407672)
(14, 168, 126, 140, 4744376)
(14, 207, 140, 183, 8872487)
(14, 238, 105, 231, 13484016)
(14, 623, 287, 602, 241807111)
(14, 889, 665, 742, 702598113)
(14, 948, 510, 896, 851974136)
(14, 1050, 581, 987, 1157627744)
(14, 1084, 672, 990, 1273763448)
(14, 1442, 896, 1316, 2998445632)
(14, 1792, 268, 1790, 5754587832)
(15, 33, 2, 34, 39312)
(15, 80, 54, 71, 515375)
(15, 180, 135, 150, 5835375)
(15, 204, 79, 200, 8493039)
(15, 228, 144, 207, 11855727)
(15, 300, 110, 295, 27003375)
(15, 762, 591, 618, 442454103)
(15, 930, 198, 927, 804360375)
(15, 930, 295, 920, 804360375)
(15, 945, 744, 756, 843912000)
(15, 1126, 298, 1119, 1427631751)
(15, 1392, 599, 1354, 2697231663)
(15, 1545, 960, 1410, 3687957000)
(15, 1700, 719, 1656, 4913003375)
(15, 1790, 575, 1770, 5735342375)
(16, 33, 9, 34, 40033)
(16, 106, 58, 100, 1195112)
(16, 128, 72, 120, 2101248)
(16, 192, 144, 160, 7081984)
(16, 272, 120, 264, 20127744)
(16, 413, 245, 382, 70449093)
(16, 440, 268, 404, 85188096)
(16, 608, 164, 604, 224759808)
(16, 686, 382, 644, 322832952)
(16, 712, 328, 688, 360948224)
(16, 801, 502, 729, 513926497)
(16, 860, 587, 757, 636060096)
(16, 1016, 760, 848, 1048776192)
(16, 1160, 391, 1145, 1560900096)
(16, 1189, 613, 1132, 1680918365)
(16, 1200, 664, 1128, 1728004096)
(16, 1286, 428, 1270, 2126785752)
(16, 1572, 1128, 1348, 3884705344)
(16, 1648, 1024, 1504, 4475813888)
(17, 39, 26, 36, 64232)
(17, 55, 24, 54, 171288)
(17, 76, 38, 73, 443889)
(17, 204, 153, 170, 8494577)
(17, 226, 54, 225, 11548089)
(17, 375, 251, 333, 52739288)
(17, 694, 537, 564, 334260297)
(17, 1108, 465, 1080, 1360256625)
(17, 1751, 1088, 1598, 5368572664)
(17, 1927, 594, 1908, 7155589896)
(18, 20, 2, 24, 13832)
(18, 30, 4, 32, 32832)
(18, 68, 32, 66, 320264)
(18, 116, 44, 114, 1566728)
(18, 139, 94, 123, 2691451)
(18, 144, 81, 135, 2991816)
(18, 153, 121, 122, 3587409)
(18, 216, 162, 180, 10083528)
(18, 255, 151, 236, 16587207)
(18, 306, 135, 297, 28658448)
(18, 360, 132, 354, 46661832)
(18, 420, 322, 344, 74093832)
(18, 584, 402, 512, 199182536)
(18, 801, 369, 774, 513928233)
(18, 1116, 354, 1104, 1389934728)
(18, 1143, 855, 954, 1493277039)
(18, 1166, 716, 1068, 1585248128)
(18, 1340, 768, 1250, 2406109832)
(18, 1350, 747, 1269, 2460380832)
(18, 1656, 291, 1653, 4541314248)
(18, 1854, 1152, 1692, 6372789696)
(18, 1879, 727, 1842, 6634080271)
(18, 1982, 1500, 1640, 7785944000)
(19, 24, 10, 27, 20683)
(19, 228, 171, 190, 11859211)
(19, 264, 75, 262, 18406603)
(19, 570, 348, 523, 185199859)
(19, 584, 460, 467, 199183563)
(19, 1658, 1291, 1340, 4557789171)
(19, 1957, 1216, 1786, 7495021352)
(20, 54, 38, 48, 165464)
(20, 97, 33, 96, 920673)
(20, 160, 90, 150, 4104000)
(20, 223, 159, 192, 11097567)
(20, 240, 180, 200, 13832000)
(20, 265, 118, 257, 18617625)
(20, 284, 206, 242, 22914304)
(20, 304, 192, 276, 28102464)
(20, 322, 168, 306, 33394248)
(20, 340, 150, 330, 39312000)
(20, 368, 134, 362, 49844032)
(20, 466, 216, 450, 101202696)
(20, 522, 381, 443, 142244648)
(20, 550, 335, 505, 166383000)
(20, 760, 205, 755, 438984000)
(20, 890, 410, 860, 704977000)
(20, 1016, 788, 824, 1048780096)
(20, 1240, 264, 1236, 1906632000)
(20, 1260, 992, 1008, 2000384000)
(20, 1270, 950, 1060, 2048391000)
(20, 1354, 556, 1322, 2482317864)
(20, 1357, 696, 1293, 2498854293)
(20, 1500, 830, 1410, 3375008000)
(20, 1744, 813, 1683, 5304446784)
(20, 1965, 1410, 1685, 7587315125)
(21, 238, 114, 229, 13490533)
(21, 252, 189, 210, 16012269)
(21, 257, 167, 231, 16983854)
(21, 396, 238, 365, 62108397)
(21, 420, 154, 413, 74097261)
(21, 1302, 413, 1288, 2207164869)
(21, 1422, 765, 1344, 2875412709)
(21, 1498, 1165, 1212, 3361527253)
(21, 1626, 1008, 1485, 4298951637)
(22, 57, 9, 58, 195841)
(22, 59, 3, 60, 216027)
(22, 176, 99, 165, 5462424)
(22, 186, 60, 184, 6445504)
(22, 264, 198, 220, 18410392)
(22, 293, 228, 237, 25164405)
(22, 348, 193, 327, 42154840)
(22, 353, 250, 305, 43997625)
(22, 374, 165, 363, 52324272)
(22, 536, 120, 534, 154001304)
(22, 976, 406, 952, 929724824)
(22, 979, 451, 946, 938324387)
(22, 986, 180, 984, 958595904)
(22, 986, 692, 856, 958595904)
(22, 1073, 401, 1054, 1235386665)
(22, 1076, 646, 992, 1245777624)
(22, 1111, 223, 1108, 1371341279)
(22, 1244, 614, 1192, 1925145432)
(22, 1397, 1045, 1166, 2726408421)
(22, 1650, 913, 1551, 4492135648)
(23, 94, 63, 84, 842751)
(23, 102, 60, 95, 1073375)
(23, 134, 95, 116, 2418271)
(23, 163, 121, 137, 4342914)
(23, 276, 207, 230, 21036743)
(23, 1569, 372, 1562, 3862515176)
(24, 54, 17, 55, 171288)
(24, 80, 62, 66, 525824)
(24, 98, 63, 89, 955016)
(24, 102, 76, 86, 1075032)
(24, 159, 87, 150, 4033503)
(24, 165, 86, 157, 4505949)
(24, 192, 108, 180, 7091712)
(24, 226, 55, 225, 11557000)
(24, 288, 216, 240, 23901696)
(24, 303, 151, 290, 27831951)
(24, 368, 153, 359, 49849856)
(24, 408, 180, 396, 67931136)
(24, 480, 176, 472, 110605824)
(24, 577, 334, 537, 192113857)
(24, 660, 402, 606, 287509824)
(24, 664, 423, 601, 292768768)
(24, 912, 246, 906, 758564352)
(24, 1029, 573, 966, 1089561213)
(24, 1068, 492, 1032, 1218200256)
(24, 1237, 678, 1165, 1892832877)
(24, 1275, 787, 1166, 2072685699)
(24, 1351, 775, 1260, 2465860375)
(24, 1488, 472, 1472, 3294660096)
(24, 1524, 1140, 1272, 3539619648)
(24, 1674, 778, 1616, 4691023848)
(24, 1800, 996, 1692, 5832013824)
(24, 1929, 642, 1905, 7177901913)
(25, 167, 64, 164, 4673088)
(25, 300, 225, 250, 27015625)
(25, 380, 240, 345, 54887625)
(25, 564, 142, 561, 179421769)
(25, 906, 657, 772, 743693041)
(25, 1270, 985, 1030, 2048398625)
(25, 1487, 188, 1486, 3288023928)
(25, 1550, 330, 1545, 3723890625)
(25, 1575, 1240, 1260, 3907000000)
(25, 1706, 206, 1705, 4965219441)
(26, 36, 17, 39, 64232)
(26, 156, 123, 125, 3813992)
(26, 208, 117, 195, 9016488)
(26, 312, 234, 260, 30388904)
(26, 442, 195, 429, 86368464)
(26, 1157, 533, 1118, 1548834469)
(26, 1651, 1235, 1378, 4500315027)
(26, 1950, 1079, 1833, 7414892576)
(27, 30, 3, 36, 46683)
(27, 45, 6, 48, 110808)
(27, 102, 48, 99, 1080891)
(27, 165, 100, 152, 4511808)
(27, 174, 66, 171, 5287707)
(27, 324, 243, 270, 34031907)
(27, 485, 152, 480, 114103808)
(27, 540, 198, 531, 157483683)
(27, 630, 483, 516, 250066683)
(27, 876, 603, 768, 672241059)
(27, 883, 631, 759, 688485070)
(27, 1229, 924, 1022, 1856351672)
(27, 1674, 531, 1656, 4691029707)
(27, 1749, 1074, 1602, 5350212432)
(28, 224, 126, 210, 11261376)
(28, 336, 252, 280, 37955008)
(28, 414, 280, 366, 70979896)
(28, 476, 210, 462, 107872128)
(28, 770, 469, 707, 456554952)
(28, 791, 246, 783, 494935623)
(28, 1064, 287, 1057, 1204572096)
(28, 1246, 574, 1204, 1934456888)
(28, 1778, 1330, 1484, 5620784904)
(28, 1785, 1044, 1657, 5687433577)
(28, 1896, 1020, 1792, 6815793088)
(29, 50, 8, 53, 149389)
(29, 99, 60, 92, 994688)
(29, 291, 92, 288, 24666560)
(29, 348, 261, 290, 42168581)
(29, 556, 186, 549, 171904005)
(29, 589, 263, 571, 204360858)
(29, 1187, 632, 1124, 1672470592)
(29, 1507, 968, 1360, 3422495232)
(29, 1906, 1418, 1597, 6924209805)
(30, 66, 4, 68, 314496)
(30, 67, 51, 58, 327763)
(30, 81, 57, 72, 558441)
(30, 92, 11, 93, 805688)
(30, 160, 108, 142, 4123000)
(30, 240, 135, 225, 13851000)
(30, 360, 270, 300, 46683000)
(30, 388, 307, 309, 58438072)
(30, 408, 158, 400, 67944312)
(30, 426, 309, 363, 77335776)
(30, 456, 288, 414, 94845816)
(30, 483, 252, 459, 112705587)
